;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Aragonka špilja (260 m);"stare i to?ne: x=4729904; y=6502010; z= 290 m";23.8.2014.;;;;;;;;18,8;16,6;;;98,0;Ulazni dio;;;;;;;16,6;15,0;15,0;;100;Dvorana prije vertikale;;;15;;;Dvorana iznad vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Atila_2012_final;Atila;Pazarište, srednji Velebit;2.8.2012.;;;;;;;;;;;;;;;;;;;;5,5;;5,0;5,7;91,8;"Postaja kod mamca br. 11, ne valja Kestrel, (curak u bo?nom kanalu)
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Atila_2012_final;Atila;Vršeljci, Pazarište, srednji Velebit;4.8.2012.;;;;;;;;;;;;;;;;;;;;;;;6,8;88,9;"postaja – Kanal debelih žena,  ne valja Kestrel
";;;;5,6;92,0;"postaja – pred kraj glavnog kanala, ne valja Kestrel
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BABA ŠPILJA;Štedovac, Šoši?i;16.10.2002.;;;;;;;;;;;;;;;;;;;;10,7;;;;96,7;Ulazna dvorana;11,3;;;;97,6;Završna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Baba špilja;Gornje igrane, Biokovo;23.6.2017.;;10;;;10;99,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;BALAN?ICA ŠPILJA;Gove?ari, Mljet;7.1.2008.;;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Balan?ica špilja;Gove?ari, Mljet;5.1.2008.;;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Balan?ica špilja;Gove?ari;26.4.2008.;;15,6;13,9;;16,1;72,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Balan?ica špilja;Gove?ari;26.4.2008.;;15,6;13,9;;16,1;72,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Bali?a špilja;Džaki?i, Bali?i, Dugopolje, Split;15.6.2011.;;7,2;;;6,4;99,8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Bali?eva špilja;Dugopolje;22.6.2024.;;;;;;;;;;;;;;5,1;;;6,1;97,3;Dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Banova ljut;Ljuba?;26.3.2008.;;;;;;;;;;;;;;;;;;;;15,2;;14,9;;93;Prije otvora za dalje ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_TERENA_UCKA 2008_studenti_final;BARINOVA JAMA;U?KA;11.9.2008.;;5,9;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Bazgova?a;Gažul, Nerežiš?e;5.1.2009;;3,9;;;3,9;91,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Bazgova?a;Podgažul, Bra?;30.6.2017.;;8,4;8,6;;8,1;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Bazgova?a;Gažul, Nerežiš?a, Bra?;19.6.2024.;;9,3;;;9,4;96,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Trogir_Brac_Hvar_dnevnik terena_11-15.3.2011;Bazgova?a jama;Gažul, Nerežiš?e, O. Bra?;12.3.2011.;;;;;;;;;;;;;;5,0;;4,7;5,0;91,0;Dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_09_Dnevnik terena jug2_evodark_final;Beleni?i;"Izvor prije zaselka Gorogaše, Gorogaše, Beleni?i, Zavala; BiH";7.9.2020.;;;;20,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BENOVA JAMA;Ravna Vlaška, Zavodi;16.6 2002.;;;;;;;;;;;;;;6,5;;;;97,8;jama iznad ceste. Manja vertikala kojom se spuštamo u donekle zasiganu dvoranu. Na dnu nešto organskog materijala. Prokapnica.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;Bezdan;Vignje, Komaji, ?ilipi;3.6.2014.;;13, 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;Bezdan;Vignje, ?ilipi;31.10.2016.;;;;;;;;;;;;;;;;;;;;14,7;;;15,8;;Velika dvorana na dnu jame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Bezdan jama;Crna klada, Ropa;1.5.2008.;;14,3;14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Bezdan jama;Crna klada, Ropa;1.5.2008.;;14,3;14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Bezdanka;Komaji;27.8.2014.;;;;;;;;;;;;;;;;;;;;15,3;;;;92,6;Dno, 70-80m;14,3;;;;95,3;Dno, 40m;13,5;;;;96,0;Dno, 20m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025_05_Dnevnik terena - Bijele stijene;Bijele stijene;Bijele stijene, Jasenak, Mrkopalj;3.5.2025;;4,0;3,9;4,0;4,8;94,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Bijelo jezero;Vukasi, Ponikve, Ston;29.3.2019.;;12,4;;;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Bijelo jezero;Vukasi, Ponikve, Ston;27.4.2019.;;13,1;12,1;;13,2;93;termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Biokovka;Golubinjak, Biokovo;24.6.2017.;;;;;;;;;;;;;;5;;;;88;dno, -380 m  termohigro;4,7;;4,6;;;oko -300 m  ;4,3;4,2;4,1;;;oko -230 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Biokovka jama;Vošac, Biokovo;19.9.2007.;;5,5;;5,6;5,7;98,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;BISERUJKA;Rudine, Krk;9.7.2007.;;14,8;;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Bjejajka jama;;11.4.2007.;;13,0;;12,7 – 12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_BiH_CG_24.10.-1.11.2015_fin;Bjelušica;Zavala, BiH;26.10.2015.;;13,5;;12,8;13,4;99,8;u špilji;12,7;;;13,7;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Bjelušica;Zavala, Popovo polje;1.4.2008.;;11,7;;10,9;12,1;95,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Blitvica;o. Piškera, Kornati;2.10.2017.;;;;;;;;;;;;;;15,4;15,2;15,2;15,2;96;termometar ubodni voda na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Bokši?a golubinka;Bokši?i, Zavojane;28.4.2018.;;6,4;6,7;;6,7;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_BiH_CG_24.10.-1.11.2015_fin;Boljanovica jama;Rai?evi?i, Njeguši;29.10.2015.;;;;;;;;;;;;;;;;;;;;7,6;;;6,4;99;lijevi, gornji kanal:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BOŠAK JAMA;Lozovci, Župa;17.11.2005.;;;8,8;;;;gdje su na?eni pselafidi;;;;;;;;;;;;;7,4;;;;100;mali pravilan, okrugli špiljski ulaz, pa vertikala cca 20 m, prokapnica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BOŠAK JAMA;Lozovci, Župa;17.11.2005.;;;8,8;;;;;;;;;;;;;;;;;;8,8;;;;prokapnica Ttlo (gdje su na?eni pselafidi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BOŠAK JAMA;Lozovci, Župa;4.4.2006.;;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 2020_5 mjesecMM;Boži?eva špilja;Boži?i, Kordunski Ljeskovac, Rakovica;30.5.2020.;;;;;;;;;;;;;;;;;;;;12,9;10,7;;15,1;79,1;kraj, kod zavoja s oznakom *RM;11;10,7;10,7;11,7;99,5;sredina, proširenje kod stalagmata gdje se fotkalo;11;10,7;;13,1;93,9;III. proširenje u blizini dimljaka, kod ljudskih kostiju ;9,4;9,2;;12,1;95,4;IV. ulaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 28.02.-01.03.2020_final;Boži?eva špilja;Boži?i, Kordunski Ljeskovac, Rakovica;28.2.2020.;;;;;;;;;;;;;;;;;;;;9,9;9,7;;10,6;91;prvo proširenje nakon ulaznog dijela, bijeli termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HBSD neprojektni dnevnici 2020-2023;Božinkina jama;Puži, Rijeka;18.6.2023.;;10,2;10,4;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Brajkovica (K4);Komiža, otok Vis;3.7.2017.;;16;;;15,9;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Bratska jama;Nadstin, Zabrca, Gornje Selo, Šolta;11.6.2016.;;;;;14;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Bratska jama;Nadstin, Zabrca, Gornje Selo, Šolta;28.6.2017.;;;;;;;;;;;;;;;;;;;;16,4;15,8;;16,7;76;gornja niša:;13,6;13,4;;13,3;61;donja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Breg jama;Babino polje;30.4.2008.;;14,9;14,9;;15,1;97,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Breg jama;Babino polje;30.4.2008.;;14,9;14,9;;15,1;97,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BRIKINJAVA ŠPILJA;Turija, Lozovci, Župa;21.3.2004.;;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BRIKINJAVA ŠPILJA;Turija, Lozovci, Župa;4.4.2006.;;4,8;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;BRIKINJAVA ŠPILJA;Turija;11.2005.;;7,7;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023_09_Dnevnik terena Marifugia;Brtvonja?a;Velja Gora, Mokro polje;15.9.2023.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BUBNJAVA?A ŠPILJA;Veprinac;3.4.2006.;;;;;;;;;;;;;;;;;;;;16,8;;;;;zadnja dvorana;14,4;;;;;druga dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;BUBNJAVA?A ŠPILJA;Veprinac;27.10.2006.;;;;;;;;;;;;;;16,8;;;;;zadnja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Bubnjava?a špilja;Veprinac;23.6.2007.;;;;;;;;;;;;;;;;;;;;17;16,1;;;;zadnja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Biokovo_dnevnik terena_10.10.-17.10.2014;Bubnjeva?a;Veliko brdo, Biokovo;16.10.2014.;;;;;;;;;;;;;;;;;;;;17,6;;;;86,4 ;na kraju hodnika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Grabovaca_BIUS_kolovoz_2014;Budina ledenica;studenac, peruši?;6.8.2014.;;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Bukovac;Donja Slavica, Lokve, G. Kotar;4.10.2015.;;10,4;;;;94,5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Teren Gorski kotar_dnevnik terena_ 22.2.-23.2.2014;Bukovac;Donja Slavica, Lokve, Gorski kotar;23.2.2014.;;5,2;;;;98,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;BUKOVAC ŠPILJA;Lokve-Fužine, nacrt G. Poli??;7.7.2020.;;9,8;9,5;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krk;BUKOVAC ŠPILJA;Lokve-Fužine, nacrt G. Poli??;7.7.2007.;;9,8;9,5;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Bunar jama ispod puta;Komin, Metkovi?;23.10.2016.;;18,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Bunar jama na Kamenom Žaknu;o. Kameni Žakan, Kornati;5.10.2017.;;18,7;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Bunar u Vruljama;o. Kornat, NP Kornati;18.4.2018.;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_04_28_Dnevnik terena Le?evica 28.-30.4.2020_final;Bunarina;Krivi?i, Uble;30.4.2020.;;14,9;14,4;;15,0;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_19.02.-21.02.2010_Leptomeson 1;Bunarina špilja;Krivi?i, Uble;20.2.2010.;;;;;;;;;;;;;;14, 1;;14, 0;;100;kraj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Bundalova pe?ina;kanjon Krnjeze, Golubi?, Obrovac, Zrmanja;3.5.2010.;;;;;;;;13,4;;;;;;;;;;;;10,4;10;10;;;lijevi kanal;;11,9;;;;desni kanal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Bunetova jama;;28.4.2009.;;;;;;;;11,4;10,5;;;100;ulazna dvorana;;;;;;;9,6;9,2;;;99,5;desni kanal;9,0;;;10,0;100;lijevi kanal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Bunetova špilja;Hum?ine, Rožmani?i, Bakar, Rijeka;8.7.2007.;;;;;;;;17,9;15,3;;;;ulazna dvorana;13,0;;;;;na kraju ve?eg kraka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;?agjina jama;Franjeva?ki samostan, Orebi?;6.4.2007.;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;?agjina jama;Orebi?, Pelješac;14.11.2018.;;;;;;;;;;;;;;;;;;;;18;;;18,1;87;Dno jame kod saljeva termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;?avle Špilja;Muškovci, kanjon Zrmanje, Obrovac;2.10.2010.;;10,8;;;;91,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Bukovac, cepic, Permani, Klana, Skabac_dnevnik terena_15.04.-17.04.2011;?epi? tunel;Vozili?i, Istra,;16.4.2011.;;13;;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;CEROVA?KA ŠPILJA DONJA;Gra?ac – KEC;3.8.2006.;;7,1;7,2;;7,3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1J.Velebit_dnevnik terana_02.12.-04.12.2011;Cerova?ka špilja gornja;Crnopac, Gra?ac;4.12.2011.;;9,8;;;;87. 5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_BiH_CG_24.10.-1.11.2015_fin;Cetinjska pe?ina;Cetinje;28.10.2015.;;;;;;;;;;;;;;;;;;;;8,2;;;8,2;98,0;kuhinja (kraj tunela od prokopanog ulaza);9,9;;;10,7;100;kanal iznad stepenica oko 100 m nakon ulazne dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;?injadra;Nerežiš?e;5.1.2009;;15,1;;;15,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;?injadra;Nerežiš?a, Bra?;1.7.2017.;;15,1;15;;14,9;91;Termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;CRNA LEDENICA;Sv. Jure;23.10.2006.;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020_06_Dnevnik  terena_EvoDark_SLO_CG_jug_06_2020_fin;Crna Rika (rukavac Neretve);Plo?e;3.7.2020.;;;;26,8;;;more;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
